Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
adalimumab,HUMIRA,05/13/2015,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,Treatment of moderate to severe hidradenitis suppurativa,9/09/15,9/09/22,Treatment of moderate to severe hidradenitis suppurativa,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,446414
adalimumab,Humira,5/11/11,Treatment of pediatric patients with ulcerative colitis,Designated/Approved,,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,02/24/2021,02/24/2028,treatment of moderately to severely active ulcerative colitis in pediatric patients 5 years of age and older. Limitations of Use: The effectiveness of HUMIRA has not been established in patients who have lost response to or were intolerant to TNF blockers.,"AbbVie, Inc.",1 North Waukegan Rd,Dept PA72; Bldg AP30-4,North Chicago,Illinois,60064,United States,340911
adalimumab,HUMIRA,10/19/2006,Treatment of pediatric Crohn's disease,Designated/Approved,,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 years of age and older with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.",09/23/2014,09/23/2021,"Reducing signs and symptoms and inducing and maintaining clinical remission in patients 6 through 16 years of age with moderately to severely active Crohn's disease who have had an inadequate response to corticosteroids or immunomodulators such as azathioprine, 6-mercaptopurine, or methotrexate.","AbbVie, Inc.",1 N. Waukegan Road,"Bldg AP30, Dept. PA77",North Chicago,Illinois,60064,United States,230306
adalimumab,HUMIRA,05/13/2015,Treatment of moderate to severe hidradenitis suppurativa (Hurley stage 2 and Hurley stage 3 disease),Designated/Approved,,Treatment of moderate to severe hidradenitis suppurativa in patients 12 years of age and older.,10/16/2018,10/16/2025,Treatment of moderate to severe hidradenitis suppurativa (HS) in adolescent patients 12 years of age and older.,"AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,446414
adalimumab,Humira,05/13/2014,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,"Treatment of non-infectious intermediate, posterior, and panuveitis in adults and pediatric patients 2 years of age and older",09/28/2018,09/28/2025,"Treatment of non-infectious intermediate, posterior, and panuveitis in pediatric patients 2 years of age and older","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,318510
adalimumab,Humira,03/21/2005,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 4 years of age and older.,02/21/2008,02/21/2015,,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,60064,United States,200905
adalimumab,Humira,05/13/2014,"Treatment of non-infectious intermediate, posterior, or panuveitis, or chronic non-infectious anterior uveitis",Designated/Approved,,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients",06/30/2016,06/30/2023,"Indicated for the treatment of non-infectious intermediate, posterior and panuveitis in adult patients","AbbVie, Inc.",1 North Waukegan Road,,North Chicago,Illinois,60064,United States,318510
adalimumab,Humira,03/21/2005,Treatment of juvenile rheumatoid arthritis,Designated/Approved,,Reducing signs and symptoms of moderately to severely active polyarticular juvenile idiopathic arthritis in patients 2 years of age and older.,09/30/2014,09/30/2021,Treatment of polyarticular juvenile idiopathic arthritis in patients 2 to less than 4 years of age.,AbbVie Inc.,1 North Waukegan Road,Bldg. AP-30,North Chicago,Illinois,60064,United States,200905
afamelanotide,SCENESSE,07/17/2008,Treatment of erythropoietic porphyrias,Designated/Approved,,SCENESSE is indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP),10/08/19,10/08/26,Indicated to increase pain free light exposure in adult patients with a history of phototoxic reactions from erythropoietic protoporphyria (EPP).,Clinuvel Inc.,P. O. Box 94026,,Menlo Park,California,94026,United States,263208
afatinib,Gilotrif,8/03/15,Treatment of non-small cell lung cancer with squamous histology.,Designated/Approved,,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy",04/15/2016,04/15/2023,"Treatment of patients with metastatic, squamous, non-small cell lung cancer progressing after platinum-based chemotherapy","Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,6877,United States,484115
afatinib,Gilotrif,12/03/12,Treatment of epidermal growth factor receptor (EGFR) mutation-positive non-small cell lung cancer (NSCLC).,Designated/Approved,,First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,7/12/13,7/12/20,First-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have epidermal growth factor receptor (EGFR) exon 19 deletions or exon 21 (L858R) substitution mutations as detected by an FDA-approved test.,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,6877,United States,375712
afatinib,Gilotrif,12/03/12,Treatment of epidermal growth factor receptor (EGFR) mutation-positive non-small cell lung cancer (NSCLC).,Designated/Approved,,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations as detected by an FDA-approved test.,1/12/18,1/12/25,GILOTRIF is indicated for the first-line treatment of patients with metastatic non-small cell lung cancer (NSCLC) whose tumors have non-resistant epidermal growth factor receptor (EGFR) mutations other than exon 19 deletions or exon 21 (L858R) substiution mutationas as detected by an FDA-approved test.,"Boehringer Ingelheim Pharmaceuticals, Inc.",900 Ridgebury Road,P. O. Box 368,Ridgefield,Connecticut,6877,United States,375712
agalsidase beta,Fabrazyme,01/19/1988,Treatment of Fabry's disease.,Designated/Approved,,treatment of adult and pediatric patients 2 years of age and older with confirmed Fabry disease,3/11/21,3/11/28,treatment of pediatric patients 2 years of age up to patients 8 years of age with confirmed Fabry disease,Genzyme Corporation,50 Binney Street,,Cambridge,Massachusetts,2142,United States,15286
Albendazole,Albenza,01/17/1996,Treatment of hydatid disease (cystic echinococcosis due to E. granulosus larvae or alveolar echinococcosis due to E. multilocularis larvae).,Designated/Approved,,"Treatment of cystic hydatid disease of the liver, lung, and peritoneum, caused by the larval form of the dog tapeworm, Echinococcus granulosus.",6/11/96,6/11/03,,"Impax Laboratories, LLC",400 Crossing Boulevard,Third Floor,Bridgewater,New Jersey,8807,United States,94195
Albendazole,Albenza,01/18/1996,"Treatment of neurocysticercosis due to Taenia solium as: 1) chemotherapy of parenchymal, subarachnoidal and racemose (cysts in spinal fluid) neurocysticercosis in symptomatic cases and 2) prophylaxis of epilepsy and other sequelae in asymptomatic neurocys",Designated/Approved,,"Treatment of parenchymal neurocysticercosis due to active lesions caused by larval forms of the pork tapeworm, Taenia solium.",6/11/96,6/11/03,,"Impax Laboratories, LLC",400 Crossing Boulevard,Third Floor,Bridgewater,New Jersey,8807,United States,94295
Aldesleukin,Proleukin,9/10/96,Treatment of metastatic melanoma.,Designated/Approved,,Treatment of adults with metastatic melanoma.,1/09/98,1/09/05,,Chiron Corporation,4560 Horton Street,,Emeryville,California,94608,United States,100696
Aldesleukin,Proleukin,09/14/1988,Treatment of metastatic renal cell carcinoma.,Designated/Approved,,Treatment of adults (>18 years old) with metastatic renal cell carcinoma.,5/05/92,5/05/99,,Chiron Corporation,4560 Horton Street,,Emeryville,California,94608,United States,29088
alectinib,Alecensa,01/27/2015,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,"ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) who have progressed on or are intolerant to crizotinib.",12/11/15,12/11/22,"Treatment of patients with anaplastic lymphoma kinase (ALK)-positive metastatic non-small cell lung cancer (NSCLC), who have progressed on or are intolerant to crizotinib","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,94080,United States,462814
alectinib,Alecensa,01/27/2015,Treatment of ALK-positive non-small cell lung cancer,Designated/Approved,,"ALECENSA is indicated for the treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small cell lung cancer (NSCLC) as detected by an FDA-approved test.",11/06/17,11/06/24,"Treatment of patients with anaplastic lymphoma kinase (ALK)-positive, metastatic non-small-cell lung cancer (NSCLC) as detected by an FDA-approved test, excluding patients who have progressed on or are intolerant to crizotinib.","Hoffmann-La Roche, Inc. (c/o Genentech, Inc.)","1 DNA Way, MS #355E",,South San Francisco,California,94080,United States,462814
alemtuzumab,Campath,10/20/1997,Treatment of chronic lymphocytic leukemia.,Designated/Approved,,The treatment of patients with B-cell chronic lymphocytic leukemia who have been treated with alkylating agents and who have failed fludarabine therapy.,5/07/01,5/07/08,,Genzyme Corporation,4545 Horizon Hill Blvd.,,San Antonio,Texas,78229,United States,107197
Alglucerase injection,Ceredase,3/11/85,For replacement therapy in patients with Gaucher's disease type I.,Designated/Approved,,"Long-term enzyme replacement therapy for children, adolescents and adult patients with a confirmed diagnosis of Type I Gaucher disease who exhibit signs and symptoms that are severe enough to result in one or more of the following conditions: a) moderate-to-severe anemia; b) thrombocytopenia with bleeding tendency; c) bone disease; d) significant hepatomegaly or splenomegaly.",4/05/91,4/05/98,,Genzyme Corporation,One Kendall Square,,Cambridge,Massachusetts,2139,United States,5585
alirocumab,Praluent,06/15/2017,Treatment of homozygous familial hypercholesterolemia,Designated/Approved,,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C,4/01/21,4/01/28,as an adjunct to other LDL-C-lowering therapies in adult patients with homozygous familial hypercholesterolemia (HoFH) to reduce LDL-C,"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,10591,United States,580617
Alitretinoin,Panretin,03/24/1998,Treatment of AIDS-related Kaposi's sarcoma.,Designated/Approved,,Topical treatment of cutaneous lesions in patients with AIDS-related Kaposi's sarcoma.,2/02/99,2/02/06,,Concordia Pharmaceuticals Inc.,Canewood Business Centre,5 Canewood Industrial Park,St Michael,,BB11005,Barbados,110998
allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen-dsat,StrataGraft,05/21/2012,Treatment of hospitalized patients with complex skin defects resulting from partial and full thickness skin burns requiring excision and grafting,Designated/Approved,,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),06/15/2021,06/15/2028,Treatment of adults with thermal burns containing intact dermal elements for which surgical intervention is clinically indicated (deep partial-thickness burns),"Stratatech Corporation, a Mallinckrodt company",505 S. Rosa Road,Suite 169,Madison,Wisconsin,53719,United States,365312
allogeneic processed thymus tissue-agdc,Rethymic,08/15/2003,Treatment of congenital athymia,Designated/Approved,,immune reconstitution in pediatric patients with congenital athymia,10/08/21,10/08/28,immune reconstitution in pediatric patients with congenital athymia,Enzyvant Therapeutics GmbH,Viaduktstrasse 8,CH-4051,Basel,,,Switzerland,172603
Allopurinol sodium,Aloprim for Injection,10/16/1992,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",Designated/Approved,,"Management of patients with leukemia, lymphoma, and solid tumor malignancies who are receiving cancer therapy which causes elevations of serum and urinary uric acid levels and who cannot tolerate oral therapy.",05/17/1996,05/17/2003,,"Catalytica Pharmaceuticals, Inc",PO Box 1887,,Greenville,North Carolina,27835,United States,68392
alpelisib,Vijoice,11/18/2019,Treatment of PIK3CA-related overgrowth spectrum,Designated/Approved,,Treatment of adult and pediatric patients 2 years of age and older with severe manifestations of PIK3CA-Related Overgrowth Spectrum (PROS) who require systemic therapy,4/05/22,,,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,7936,United States,710819
Alpha1-proteinase inhibitor (human),Prolastin,12/07/84,For replacement therapy in the alpha-1-proteinase inhibitor congenital deficiency state.,Designated/Approved,,For chronic replacement therapy of individuals having congenital deficiency of alpha1- proteinase inhibitor with clinically demonstrable panacinar emphysema.,12/02/87,12/02/94,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,6516,United States,3084
Altretamine,Hexalen,2/09/84,Treatment of advanced adenocarcinoma of the ovary.,Designated/Approved,,Single agent palliative treatment of patients with persistent or recurrent ovarian cancer following first-line therapy with a cisplatin and/or alkylating agent based combination.,12/26/1990,12/26/1997,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428,United States,983
Amantadine hydrochloride,Gocovri,4/09/15,Treatment of levodopa-induced dyskinesia,Designated/Approved,,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications,08/24/2017,08/24/2024,treatment of dyskinesia in patients with Parkinson's disease receiving levodopa-based therapy with or without concomitant dopminergic medications,"Adamas Pharmaceuticals, Inc.",1900 Powell Street,Suite 750,Emeryville,California,94608,United States,413213
ambrisentan,Letairis,07/16/2004,Treatment of pulmonary arterial hypertension,Designated/Approved,,Treatment of pulmonary arterial hypertension (WHO group I) in patients with WHO class II or III symptoms to improve exercise capacity and delay clinical worsening,06/15/2007,06/15/2014,,Gilead Colorado,7575 West 103rd Avenue,Suite 102,Westminister,Colorado,80021,United States,183604
amifampridine phosphate,FIRDAPSE,11/12/09,Treatment of Lambert-Eaton Myasthenic Syndrome,Designated/Approved,,FIRDAPSE is indicated for the treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults.,11/28/2018,11/28/2025,FIRDAPSE is indicated for the treatment of Lambert-Eaton myasthenic syndrome (LEMS) in adults.,"Catalyst Pharmaceuticals, Inc.",355 Alhambra Circle,Suite 1250,Coral Gables,Florida,33134,United States,295309
Amifostine,Ethyol,05/30/1990,For use as a chemoprotective agent for cisplatin in the treatment of advanced ovarian carcinoma.,Designated/Approved,,To reduce the cumulative renal toxicity associated with repeated administration of cisplatin in patients with advanced ovarian cancer.,12/08/95,12/08/02,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428,United States,42789
Amifostine,Ethyol,5/12/98,Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer.,Designated/Approved,,"Reduction of the incidence of moderate to severe xerostomia in patients undergoing post-operative radiation treatment for head and neck cancer, where the radiation port includes a substantial portion of the parotid glands.",06/24/1999,06/24/2006,,"Medimmune Oncology, Inc.",One Tower Bridge,"100 Front Street, Suite 400",West Conshohocken,Pennsylvania,19428,United States,111698
Aminosalicylic acid,Paser Granules,02/19/1992,Treatment of tuberculosis infections,Designated/Approved,,Treatment of tuberculosis,06/30/1994,06/30/2001,,Jacobus Pharmaceutical Company,37 Cleveland Lane,P.O. Box 5290,Princeton,New Jersey,8540,United States,65792
Amiodarone HCl,Cordarone,03/16/1994,For the acute treatment and prophylaxis of life-threatening ventricular tachycardia or ventricular fibrillation.,Designated/Approved,,For initiation of treatment and prophylaxis of frequently recurring ventricular fibrillation and hemodynamically unstable ventricular tachycardia in patients refractory to other therapy.,8/03/95,8/03/02,,Wyeth-Ayerst Laboratories,P.O. Box 8299,,Philadelphia,Pennsylvania,19101,United States,77293
Amphotericin B lipid complex,Abelcet,12/05/91,Treatment of invasive fungal infections.,Designated/Approved,,Treatment of invasive fungal infections in patients who are refractory to or intolerant of conventional amphotericin B therapy.,10/18/1996,10/18/2003,,"Liposome Company, Inc.",One Research Way,,Princeton,New Jersey,8540,United States,57891
Anagrelide,Agrylin,01/27/1988,Treatment of essential thrombocythemia.,Designated/Approved,,Treatment of patients with essential thrombocythemia to reduce the elevated platelet count and the risk of thrombosis and to ameliorate associated symptoms.,03/14/1997,03/14/2004,,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,20887
anakinra,Kineret,06/29/2020,Treatment of Deficiency of IL-1 Receptor Antagonist,Designated/Approved,,treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA),12/18/2020,12/18/2027,treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA),Swedish Orphan Biovitrum AB (PUBL),Tomtebodav_n 23A,,Stockholm,,,Sweden,745420
anakinra,Kineret,08/19/2010,Treatment of cryopyrin-associated periodic syndromes,Designated/Approved,,Treatment of neonatal-onset multisystem inflammatory disease (NOMID),12/21/2012,12/21/2019,,Swedish Orphan Biovitrum AB (publ),SE-011276,,Stockholm,,,Sweden,312110
ansuvimab-zykl,EBANGA,5/08/19,Treatment of Ebola Virus Disease,Designated/Approved,,"treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection",12/21/2020,12/21/2027,"treatment of infection caused by Zaire ebolavirus in adult and pediatric patients, including neonates born to a mother who is RT-PCR positive for Zaire ebolavirus infection","Ridgeback Biotherapeutics, LP","3480 Main Highway, Unit 402",,Miami,Florida,33133,United States,683019
anthrax immune globulin (human),,07/29/2008,Treatment of inhalational anthrax,Designated/Approved,,Treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs,03/24/2015,03/24/2022,Treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs,Cangene Corp. - Emergent Biosolutions,155 Innovation Drive,R3T 5Y3,"Winnipeg, MB",,,Canada,263008
Anthrax Vaccine Adsorbed,BioThrax,4/11/14,For post-exposure prophylaxis of anthrax disease resulting from suspected or confirmed Bacillus anthracis exposure,Designated/Approved,,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",11/23/2015,11/23/2022,"For post-exposure prophylaxis of disease following suspected or confirmed Bacillus anthracis exposure, when administered in conjunction with recommended antibacterial drugs.",Emergent BioDefense Operations Lansing LLC,300 Proessional Drive,,Gaithersburg,Maryland,20879,United States,424914
anti-inhibitor coagulant complex,FEIBA,4/12/13,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,Designated/Approved,,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,12/16/2013,12/16/2020,Routine prophylaxis to prevent or reduce the frequency of bleeding episodes in hemophilia A and B patients with inhibitors,"Baxalta US, Inc.",One Baxter Way,,West Lake Village,California,91362,United States,393913
Antihemophilic factor (human),Alphanate,1/05/96,Treatment of von Willebrand's disease,Designated/Approved,,For surgical and/or invasive procedures in patients with von Willebrand Disease (VWD) in whom desmopressin is either ineffective or contraindicated. It is not indicated for patients with severe VWD (Type 3) undergoing major surgery,01/31/2007,01/31/2014,,Grifols Biologicals Inc.,5555 Valley Boulevard,,Los Angeles,California,90032,United States,93895
Antihemophilic factor (recombinant),"ReFacto, Xyntha",2/08/96,For the control and prevention of hemorrhagic episodes and for surgical prophylaxis in patients with hemophilia A (congenital factor VIII deficiency or classic hemophilia).,Designated/Approved,,,3/06/00,,,"Wyeth Pharmaceuticals, Inc.",P. O. Box 8299,,Philadelphia,Pennsylvania,19101,United States,94495
Antihemophilic factor (recombinant),Kogenate,09/25/1989,Prophylaxis and treatment of bleeding in individuals with hemophilia A or for prophylaxis when surgery is required in individuals with hemophilia A.,Designated/Approved,,Treatment and prophylaxis of bleeding in patients with hemophilia A (not von Willebrand's disease),02/25/1993,02/25/2000,,Bayer Corporation,1884 Miles Avenue,,Elkhart,Indiana,46515,United States,39289
"antihemophilic factor (recombinant), Fc fusion protein",Eloctate,11/23/2010,Treatment of hemophilia A,Designated/Approved,,"Indicated in adults and children with Hemophilia A (congenital Factor VIII deficiency) for on-demand treatment and control of bleeding episodes, perioperative management of bleeding, and routine prophylaxis to reduce the frequency of bleeding episodes.",6/06/14,6/06/21,"Treatment of adults and children with Hemophilia A (congenital Factor VIII deficiency) for control and prevention of bleeding episodes, perioperative management, and routine prophylaxis to prevent or reduce the frequency of bleeding episodes.","Bioverativ Therapeutics, Inc.",225 2nd Avenue,,Waltham,Massachusetts,2451,United States,321610
"antihemophilic factor (recombinant), porcine sequence",OBIZUR,03/16/2004,Treatment and prevention of episodic bleeding in patients with inhibitor antibodies to human coagulation factor VIII,Designated/Approved,,Treatment of bleeding episodes in adults with acquired hemophilia A.,10/23/2014,10/23/2021,Treatment of bleeding episodes in adults with acquired hemophilia A.,"Takeda Development Center Americas, Inc.",95 Hayden Avenue,,Lexington,Massachusetts,2421,United States,181403
"Antihemophilic factor/von Willebrand factor complex (human), dried, pasteurized",Humate-P,10/16/1992,Treatment of patients with von Willebrand's disease,Designated/Approved,,"(1) In adult patients for treatment and prevention of bleeding in hemophilia A (classic hemophilia) and (2) in adult and pediatric patients for treatment of spontaneous and trauma-induced bleeding episodes in severe von Willebrand disease, and in mild and moderate von Willebrand disease where use of desmopressin is known or suspected to be inadequate.",4/01/99,4/01/06,,CSL Behring,1020 First Avenue,PO Box 61501,King Of Prussia,Pennsylvania,19406,United States,67992
Antithrombin III (human),ATnativ,2/08/85,For the treatment of patients with hereditary antithrombin III deficiency in connection with surgical or obstetrical procedures or when they suffer from thromboembolism.,Designated/Approved,,,12/13/1989,12/13/1996,,Pharmacia & Upjohn AB,Lindhagensgatan 133,,Stockholm,,,Sweden,5084
Antithrombin III (human),Thrombate III,11/26/1984,For replacement therapy in congenital deficiency of AT-III for prevention and treatment of thrombosis and pulmonary emboli.,Designated/Approved,,,12/30/1991,12/30/1998,,Bayer Corporation,"Pharmaceutical Division, Biological Products",400 Morgan Lane,New Haven,Connecticut,6516,United States,4084
Antivenin crotaline (pit-viper) equine immune F(ab)2),Anavip,01/29/2004,Treatment of envenomation by Crotaline snakes,Designated/Approved,,Management of adult and pediatric patients with North American rattlesnake envenomation,5/06/15,5/06/22,Management of adult and pediatric patients with North American rattlesnake envenomation,"Rare Disease Therapeutics, Inc.",12975 Brookprinter Place,Suite 170,Poway,California,92064,United States,177503
"Antivenin, crotalidae polyvalent immune Fab (ovine)",CroFab,1/12/94,Treatment of envenomations inflicted by North American crotalid snakes.,Designated/Approved,,Treatment of minimal and moderate North American Crotalidae envenomation,10/02/00,10/02/07,,"Protherics, Inc.","1207 17th Ave. S., Suite 103",,Nashville,Tennessee,37212,United States,78993
